JOB;EVENT;EVENT_TIME
1;PROCESS_CONSUME_CPU;42
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;42
4;PROCESS_CONSUME_CPU;43
4;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;43
4;PROCESS_CONSUME_IO;43
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;44
4;PROCESS_CONSUME_IO;44
4;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;44
7;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;45
4;PROCESS_CONSUME_CPU;45
1;PROCESS_CONSUME_IO;45
4;MEMORY_CLEAR_32_TABLES;45
4;PROCESS_FINISH_ON_CPU;45
5;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;46
6;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;46
7;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;46
5;PROCESS_CONSUME_CPU;46
1;PROCESS_CONSUME_IO;46
1;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;46
5;PROCESS_CONSUME_CPU;47
5;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;47
6;PROCESS_CONSUME_CPU;48
6;PROCESS_CONSUME_CPU;49
6;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;49
7;PROCESS_CONSUME_CPU;50
7;PROCESS_CONSUME_CPU;51
7;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;51
1;PROCESS_CONSUME_CPU;52
1;PROCESS_CONSUME_CPU;53
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;53
5;PROCESS_CONSUME_CPU;54
5;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;54
5;PROCESS_CONSUME_IO;54
6;PROCESS_CONSUME_CPU;55
6;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;55
5;PROCESS_CONSUME_IO;55
5;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;55
7;PROCESS_CONSUME_CPU;56
7;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;56
6;PROCESS_CONSUME_IO;56
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;57
6;PROCESS_CONSUME_IO;57
6;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;57
5;PROCESS_CONSUME_CPU;58
7;PROCESS_CONSUME_IO;58
5;PROCESS_CONSUME_CPU;59
5;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;59
7;PROCESS_CONSUME_IO;59
7;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;59
6;PROCESS_CONSUME_CPU;60
1;PROCESS_CONSUME_IO;60
6;PROCESS_CONSUME_CPU;61
6;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;61
1;PROCESS_CONSUME_IO;61
1;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;61
5;PROCESS_CONSUME_CPU;62
5;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;62
5;PROCESS_CONSUME_IO;62
7;PROCESS_CONSUME_CPU;63
5;PROCESS_CONSUME_IO;63
5;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;63
7;PROCESS_CONSUME_CPU;64
7;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;64
6;PROCESS_CONSUME_CPU;65
6;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;65
6;PROCESS_CONSUME_IO;65
1;PROCESS_CONSUME_CPU;66
6;PROCESS_CONSUME_IO;66
6;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;66
1;PROCESS_CONSUME_CPU;67
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;67
5;PROCESS_CONSUME_CPU;68
5;PROCESS_CONSUME_CPU;69
5;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;69
7;PROCESS_CONSUME_CPU;70
7;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;70
7;PROCESS_CONSUME_IO;70
6;PROCESS_CONSUME_CPU;71
7;PROCESS_CONSUME_IO;71
7;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;71
6;PROCESS_CONSUME_CPU;72
6;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;72
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;72
1;PROCESS_CONSUME_IO;72
5;PROCESS_CONSUME_CPU;73
5;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;73
1;PROCESS_CONSUME_IO;73
1;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;73
7;PROCESS_CONSUME_CPU;74
5;PROCESS_CONSUME_IO;74
7;PROCESS_CONSUME_CPU;75
7;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;75
5;PROCESS_CONSUME_IO;75
5;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;75
6;PROCESS_CONSUME_CPU;76
6;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;76
6;PROCESS_CONSUME_IO;76
1;PROCESS_CONSUME_CPU;77
6;PROCESS_CONSUME_IO;77
6;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;77
1;PROCESS_CONSUME_CPU;78
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;78
7;PROCESS_CONSUME_CPU;79
7;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;79
7;PROCESS_CONSUME_IO;79
5;PROCESS_CONSUME_CPU;80
7;PROCESS_CONSUME_IO;80
7;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;80
5;MEMORY_CLEAR_80_TABLES;80
5;PROCESS_FINISH_ON_CPU;80
6;PROCESS_CONSUME_CPU;81
6;MEMORY_CLEAR_5_TABLES;81
6;PROCESS_FINISH_ON_CPU;81
1;PROCESS_CONSUME_CPU;82
1;MEMORY_CLEAR_10_TABLES;82
1;PROCESS_FINISH_ON_CPU;82
7;PROCESS_CONSUME_CPU;83
7;MEMORY_CLEAR_5_TABLES;83
7;PROCESS_FINISH_ON_CPU;83
8;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;89
8;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;89
8;PROCESS_CONSUME_CPU;89
8;PROCESS_CONSUME_CPU;90
8;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;90
8;PROCESS_CONSUME_CPU;91
8;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;91
8;PROCESS_CONSUME_IO;91
8;PROCESS_CONSUME_IO;92
8;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;92
8;PROCESS_CONSUME_CPU;93
8;PROCESS_CONSUME_CPU;94
8;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;94
8;PROCESS_CONSUME_CPU;95
8;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;95
8;PROCESS_CONSUME_IO;95
8;PROCESS_CONSUME_IO;96
8;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;96
8;PROCESS_CONSUME_CPU;97
8;PROCESS_CONSUME_CPU;98
8;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;98
8;PROCESS_CONSUME_CPU;99
